,bps,clean_sheets,element_type,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,selected_by_percent,total_points,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position,xAP,xGP,xAR,xAP90,xGP90,xAR90,xAR90pm
0,46,0,1,55,0,0,0,2.0,0,9,5.4,6,0,Petr Cech,79,Arsenal,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27,0,2,60,0,0,0,1.0,0,0,11.4,3,0,Héctor Bellerín,80,Arsenal,3,270,0,0,0.41,0.04,0.14,0.01,Defender,0.12,2.46,2.58,0.03,0.8400000000000001,0.8700000000000001,0.14500000000000002
3,60,0,2,54,0,0,0,1.0,0,0,3.8,3,0,Nacho Monreal,82,Arsenal,3,270,0,0,0.0,0.05,0.0,0.02,Defender,0.15000000000000002,0.0,0.15000000000000002,0.06,0.0,0.06,0.01111111111111111
4,30,0,2,49,0,0,0,0.0,0,0,1.4,0,1,Rob Holding,289,Arsenal,2,159,0,0,0.11,0.0,0.06,0.0,Defender,0.0,0.66,0.66,0.0,0.36,0.36,0.07346938775510203
6,46,0,2,60,0,0,0,3.5,0,0,11.1,7,0,Sead Kolasinac,63,Arsenal,2,158,0,1,0.06,0.55,0.03,0.31,Defender,1.6500000000000001,0.36,2.0100000000000002,0.9299999999999999,0.18,1.1099999999999999,0.18499999999999997
9,47,0,3,95,0,0,0,1.7,0,0,2.3,5,1,Mesut Özil,86,Arsenal,3,270,0,0,0.26,1.18,0.09,0.39,Midfielder,3.54,1.3,4.84,1.17,0.44999999999999996,1.6199999999999999,0.17052631578947366
10,39,0,3,70,0,0,0,3.0,0,0,3.1,9,0,Aaron Ramsey,21,Arsenal,3,159,1,0,1.09,0.02,0.62,0.01,Midfielder,0.06,5.45,5.51,0.03,3.1,3.13,0.4471428571428571
14,57,0,3,56,0,0,0,4.3,0,0,15.5,13,1,Granit Xhaka,55,Arsenal,3,261,0,2,0.12,0.28,0.04,0.1,Midfielder,0.8400000000000001,0.6,1.44,0.30000000000000004,0.2,0.5,0.08928571428571429
16,37,0,4,75,0,0,0,3.0,0,0,1.2,9,1,Danny Welbeck,19,Arsenal,3,257,1,0,1.64,0.38,0.57,0.13,Forward,1.1400000000000001,6.56,7.699999999999999,0.39,2.28,2.67,0.356
17,47,0,4,105,0,0,0,3.0,0,0,14.2,9,0,Alexandre Lacazette,47,Arsenal,3,197,1,0,0.27,0.54,0.12,0.25,Forward,1.62,1.08,2.7,0.75,0.48,1.23,0.11714285714285715
18,60,0,1,45,0,0,0,2.7,0,16,5.2,8,0,Asmir Begovic,162,Bournemouth,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,46,0,2,50,0,0,0,3.3,0,0,14.1,10,0,Charlie Daniels,17,Bournemouth,3,270,1,0,0.05,0.0,0.02,0.0,Defender,0.0,0.30000000000000004,0.30000000000000004,0.0,0.12,0.12,0.024
22,44,0,2,50,0,0,0,1.3,0,0,6.4,4,1,Nathan Aké,121,Bournemouth,3,270,0,0,0.05,0.0,0.02,0.0,Defender,0.0,0.30000000000000004,0.30000000000000004,0.0,0.12,0.12,0.024
23,33,0,3,50,0,0,0,1.3,0,0,0.7,4,2,Harry Arter,232,Bournemouth,3,270,0,0,0.08,0.11,0.03,0.04,Midfielder,0.33,0.4,0.73,0.12,0.15,0.27,0.054000000000000006
25,36,0,3,45,0,0,0,2.0,0,0,0.9,6,0,Andrew Surman,69,Bournemouth,3,270,0,0,0.03,0.16,0.01,0.05,Midfielder,0.48,0.15,0.63,0.15000000000000002,0.05,0.2,0.044444444444444446
27,6,0,3,49,0,0,0,1.0,0,0,0.4,2,0,Jordon Ibe,75,Bournemouth,2,106,0,0,0.02,0.03,0.01,0.03,Midfielder,0.09,0.1,0.19,0.09,0.05,0.14,0.02857142857142857
28,19,0,3,54,0,0,0,2.0,0,0,1.0,4,0,Ryan Fraser,270,Bournemouth,2,171,0,0,0.09,0.06,0.05,0.03,Midfielder,0.18,0.44999999999999996,0.6299999999999999,0.09,0.25,0.33999999999999997,0.06296296296296296
29,13,0,4,59,0,0,0,1.3,0,0,0.4,4,0,Benik Afobe,212,Bournemouth,3,142,0,0,0.2,0.07,0.13,0.05,Forward,0.21000000000000002,0.8,1.01,0.15000000000000002,0.52,0.67,0.1135593220338983
31,14,0,4,74,0,0,0,2.0,0,0,3.2,6,0,Joshua King,72,Bournemouth,3,270,0,0,0.44,0.02,0.15,0.01,Forward,0.06,1.76,1.82,0.03,0.6,0.63,0.08513513513513513
32,12,0,4,79,0,0,0,1.3,0,0,2.9,4,0,Jermain Defoe,178,Bournemouth,3,128,0,0,0.14,0.1,0.1,0.07,Forward,0.30000000000000004,0.56,0.8600000000000001,0.21000000000000002,0.4,0.6100000000000001,0.07721518987341773
33,46,1,2,45,1,0,0,2.0,0,0,1.4,6,0,Lewis Dunk,336,Brighton,3,270,0,0,0.56,0.03,0.19,0.01,Defender,0.09,3.3600000000000003,3.45,0.03,1.1400000000000001,1.1700000000000002,0.26
