,bps,clean_sheets,element_type,news_added,now_cost,own_goals,penalties_missed,photo,points_per_game,red_cards,second_name,threat,web_name,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position
0,130,1,1,2018-09-29T17:31:14Z,50,0,0,11334.jpg,3.4,0,Cech,0,Cech,0,Petr Cech,281,Arsenal,34,3060,0,0,0.0,0.05,0.0,0.0,Unfilled
1,0,0,2,2018-07-05T14:31:07Z,54,0,0,51507.jpg,0.0,0,Koscielny,0,Koscielny,0,Laurent Koscielny,78,Arsenal,33,2848,4,0,3.34,0.72,0.11,0.02,Unfilled
2,205,2,2,2018-11-03T16:31:13Z,54,1,0,98745.jpg,3.5,0,Bellerín,151,Bellerín,1,Héctor Bellerín,186,Arsenal,36,3240,1,5,0.71,4.75,0.02,0.13,Unfilled
3,124,2,2,2018-10-22T19:31:15Z,55,0,0,38411.jpg,4.3,0,Monreal,161,Monreal,1,Nacho Monreal,282,Arsenal,37,3247,0,3,0.91,2.91,0.03,0.08,Unfilled
4,166,2,3,2018-10-07T10:31:16Z,84,0,0,37605.jpg,5.0,0,Özil,105,Özil,0,Mesut Özil,41,Arsenal,35,3065,6,19,7.92,17.62,0.23,0.52,Unfilled
5,118,3,3,2018-08-02T07:01:09Z,74,0,0,41792.jpg,3.1,0,Ramsey,156,Ramsey,0,Aaron Ramsey,55,Arsenal,31,2624,5,4,8.61,4.05,0.3,0.14,Unfilled
6,106,0,3,2018-09-03T09:01:13Z,55,0,0,153133.jpg,3.3,0,Iwobi,112,Iwobi,0,Alex Iwobi,123,Arsenal,13,639,2,2,1.55,1.51,0.22,0.21,Unfilled
7,0,0,3,2018-10-31T10:31:13Z,43,0,0,153256.jpg,0.0,0,Elneny,0,Elneny,0,Mohamed Elneny,283,Arsenal,11,799,0,1,1.33,0.3,0.15,0.03,Unfilled
8,63,0,4,2018-11-08T23:01:14Z,65,0,0,50175.jpg,2.4,0,Welbeck,66,Welbeck,0,Danny Welbeck,79,Arsenal,11,581,4,2,2.98,0.76,0.46,0.12,Unfilled
9,0,0,1,,40,0,0,18726.jpg,0.0,0,Boruc,0,Boruc,0,Artur Boruc,267,Bournemouth,32,2880,0,0,0.0,0.09,0.0,0.0,Unfilled
10,148,3,2,2018-11-03T12:31:13Z,44,0,0,15149.jpg,2.7,0,Francis,24,Francis,0,Simon Francis,268,Bournemouth,38,3388,0,4,0.21,2.39,0.01,0.06,Unfilled
11,70,2,2,2018-10-27T14:01:13Z,42,0,0,41320.jpg,3.5,0,Daniels,33,Daniels,1,Charlie Daniels,96,Bournemouth,37,3288,3,5,2.93,2.49,0.08,0.07,Unfilled
12,217,4,2,2018-08-05T11:01:10Z,50,0,0,126184.jpg,3.8,0,Aké,120,Aké,0,Nathan Aké,197,Watford,24,1868,1,0,1.61,0.7,0.08,0.03,Unfilled
13,0,0,3,2018-08-29T15:31:12Z,43,0,0,20037.jpg,0.0,0,Pugh,0,Pugh,0,Marc Pugh,99,Bournemouth,26,1328,3,2,2.47,1.2,0.17,0.08,Unfilled
14,52,1,3,,47,0,0,15237.jpg,1.7,0,Surman,15,Surman,1,Andrew Surman,269,Bournemouth,38,3420,0,3,0.57,1.4,0.02,0.04,Unfilled
