PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
1,Pierre-Emerick Aubameyang,Arsenal,17,1315,10,3,8.55,2.67,0.59,0.18
2,Mohamed Salah,Liverpool,17,1405,10,4,10.06,5.30,0.64,0.34
3,Raheem Sterling,Manchester City,14,1149,9,6,7.20,4.81,0.56,0.38
4,Harry Kane,Tottenham,17,1454,9,3,9.62,2.65,0.60,0.16
5,Callum Wilson,Bournemouth,16,1355,8,5,8.16,3.73,0.54,0.25
6,Sergio Agüero,Manchester City,13,986,8,4,8.76,2.91,0.80,0.27
7,Eden Hazard,Chelsea,16,1227,8,9,5.32,6.66,0.39,0.49
8,Glenn Murray,Brighton,17,1125,8,0,5.22,0.55,0.42,0.04
9,Richarlison de Andrade,Everton,15,1298,8,0,5.71,0.86,0.40,0.06
10,Anthony Martial,Manchester United,13,801,7,0,3.55,1.41,0.40,0.16
11,Aleksandar Mitrovic,Fulham,17,1485,7,2,6.39,1.07,0.39,0.06
12,Sadio Mané,Liverpool,15,1265,7,1,5.70,1.70,0.41,0.12
13,Alexandre Lacazette,Arsenal,16,1041,7,3,4.78,1.15,0.41,0.10
14,Leroy Sané,Manchester City,15,888,6,7,4.96,3.87,0.50,0.39
15,Romelu Lukaku,Manchester United,16,1179,6,0,6.16,1.06,0.47,0.08
16,Pedro,Chelsea,15,802,6,1,3.42,1.15,0.38,0.13
17,Gylfi Sigurdsson,Everton,17,1434,6,2,5.76,3.23,0.36,0.20
18,Danny Ings,Southampton,12,906,6,1,6.54,1.21,0.65,0.12
19,Felipe Anderson Pereira Gomes,West Ham,17,1428,6,2,3.14,2.95,0.20,0.19
20,André Schürrle,Fulham,15,1181,5,0,2.49,1.29,0.19,0.10
21,Joshua King,Bournemouth,14,1232,5,1,5.01,1.54,0.37,0.11
22,David Silva,Manchester City,14,1094,5,2,4.41,5.60,0.36,0.46
23,Riyad Mahrez,Manchester City,16,829,5,2,4.72,2.35,0.51,0.26
24,Jamie Vardy,Leicester,13,942,5,1,7.76,1.24,0.74,0.12
25,Marko Arnautovic,West Ham,13,1023,5,2,5.08,2.98,0.45,0.26
26,Xherdan Shaqiri,Liverpool,13,628,5,2,2.60,1.11,0.37,0.16
27,Roberto Pereyra,Watford,17,1461,5,0,3.76,1.75,0.23,0.11
28,Álvaro Morata,Chelsea,14,848,5,0,6.46,0.21,0.69,0.02
29,Lucas Rodrigues Moura da Silva,Tottenham,16,1234,5,0,4.58,0.88,0.33,0.06
30,Raúl Jiménez,Wolverhampton Wanderers,17,1374,5,4,6.22,2.67,0.41,0.17
31,James Maddison,Leicester,16,1254,5,2,2.96,3.67,0.21,0.26
32,Chicharito,West Ham,13,638,4,1,4.53,1.12,0.64,0.16
33,Henrikh Mkhitaryan,Arsenal,14,836,4,1,3.12,1.61,0.34,0.17
34,Roberto Firmino,Liverpool,17,1294,4,3,6.31,3.31,0.44,0.23
35,Erik Lamela,Tottenham,10,517,4,1,3.10,0.82,0.54,0.14
36,Salomón Rondón,Newcastle United,12,820,4,2,4.09,0.51,0.45,0.06
