№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Manchester City,12,10,2,0,36,5,32,34.72-1.28,7.52+2.52,31.00-1.00
2,Liverpool,12,9,3,0,23,5,30,23.28+0.28,9.70+4.70,24.53-5.47
3,Chelsea,12,8,4,0,27,8,28,24.79-2.21,11.12+3.12,26.02-1.98
4,Tottenham,12,9,0,3,20,10,27,20.87+0.87,15.46+5.46,20.78-6.22
5,Arsenal,12,7,3,2,26,15,24,16.95-9.05,17.19+2.19,16.21-7.79
6,Bournemouth,12,6,2,4,21,16,20,22.96+1.96,16.30+0.30,21.45+1.45
7,Watford,12,6,2,4,17,14,20,18.33+1.33,13.68-0.32,20.10+0.10
8,Manchester United,12,6,2,4,20,21,20,20.51+0.51,19.20-1.80,16.81-3.19
9,Everton,12,5,4,3,19,15,19,15.96-3.04,15.79+0.79,16.28-2.72
10,Leicester,12,5,2,5,17,16,17,15.94-1.06,14.36-1.64,17.89+0.89
11,Wolverhampton Wanderers,12,4,4,4,12,13,16,17.33+5.33,10.85-2.15,20.60+4.60
12,Brighton,12,4,2,6,13,18,14,12.34-0.66,22.48+4.48,9.57-4.43
13,West Ham,12,3,3,6,14,18,12,14.84+0.84,19.12+1.12,14.56+2.56
14,Newcastle United,12,2,3,7,9,15,9,11.09+2.09,19.52+4.52,10.17+1.17
15,Burnley,12,2,3,7,12,25,9,9.20-2.80,26.07+1.07,7.64-1.36
16,Crystal Palace,12,2,2,8,8,17,8,12.87+4.87,17.69+0.69,13.66+5.66
17,Southampton,12,1,5,6,8,21,8,15.74+7.74,20.29-0.71,13.31+5.31
18,Cardiff,12,2,2,8,11,25,8,13.18+2.18,20.45-4.55,12.82+4.82
19,Huddersfield,12,1,4,7,6,22,7,7.88+1.88,18.43-3.57,10.57+3.57
20,Fulham,12,1,2,9,11,31,5,11.68+0.68,25.23-5.77,8.88+3.88
